Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
131.0,excitement,excitement,7.62,1.65
132.0,joke,joke,7.62,1.4
133.0,millionaire,millionaire,7.62,2.13
134.0,prize,prize,7.62,1.21
135.0,succeeded,succeeded,7.62,1.14
136.0,successfully,successfully,7.62,1.26
137.0,winners,winners,7.62,1.54
138.0,shines,shines,7.6,1.59
139.0,awesome,awesome,7.6,1.59
140.0,genius,genius,7.6,1.25
141.0,achievement,achievement,7.58,1.43
142.0,cake,cake,7.58,1.11
143.0,cheers,cheers,7.58,1.47
144.0,exciting,exciting,7.58,1.34
145.0,goodness,goodness,7.58,1.37
146.0,hug,hug,7.58,1.47
147.0,income,income,7.58,1.6
148.0,party,party,7.58,1.46
149.0,puppy,puppy,7.58,1.46
150.0,smiling,smiling,7.58,1.7
151.0,song,song,7.58,1.34
152.0,succeeding,succeeding,7.58,1.34
153.0,tasty,tasty,7.58,1.13
154.0,victories,victories,7.58,1.76
155.0,achieved,achieved,7.56,1.37
156.0,billion,billion,7.56,1.67
157.0,cakes,cakes,7.56,1.46
158.0,easier,easier,7.56,1.15
159.0,flowers,flowers,7.56,1.43
160.0,gifts,gifts,7.56,1.94
161.0,gold,gold,7.56,1.11
162.0,merry,merry,7.56,1.15
163.0,families,families,7.54,1.28
164.0,handsome,handsome,7.54,1.25
165.0,lovers,lovers,7.54,1.28
166.0,affection,affection,7.53,1.53
167.0,candy,candy,7.52,1.49
168.0,cute,cute,7.52,1.2
169.0,diamond,diamond,7.52,1.72
170.0,earnings,earnings,7.52,1.42
171.0,interesting,interesting,7.52,1.18
172.0,peacefully,peacefully,7.52,1.05
173.0,praise,praise,7.52,1.47
174.0,relaxing,relaxing,7.52,1.22
175.0,roses,roses,7.52,1.25
176.0,saturdays,saturdays,7.52,1.73
177.0,faithful,faithful,7.51,1.32
178.0,heavens,heavens,7.51,1.73
179.0,cherish,cherish,7.5,1.47
180.0,comfort,comfort,7.5,1.15
181.0,congrats,congrats,7.5,1.54
182.0,cupcake,cupcake,7.5,1.76
183.0,earn,earn,7.5,1.34
184.0,extraordinary,extraordinary,7.5,1.37
185.0,glory,glory,7.5,1.61
186.0,hilarious,hilarious,7.5,1.98
187.0,moonlight,moonlight,7.5,1.36
188.0,optimistic,optimistic,7.5,1.31
189.0,peaceful,peaceful,7.5,1.09
190.0,romance,romance,7.5,1.43
191.0,feast,feast,7.49,1.65
192.0,attractive,attractive,7.48,0.97
193.0,glad,glad,7.48,1.52
194.0,grandma,grandma,7.48,1.5
195.0,internet,internet,7.48,1.31
196.0,pleasant,pleasant,7.48,1.22
197.0,profits,profits,7.48,1.33
198.0,smart,smart,7.48,1.37
199.0,x-mas,x-mas,7.48,1.82
200.0,babies,babies,7.46,1.5
201.0,cheer,cheer,7.46,1.68
202.0,courage,courage,7.46,1.18
203.0,enthusiasm,enthusiasm,7.46,1.13
204.0,honest,honest,7.46,1.13
205.0,loyal,loyal,7.46,1.25
206.0,opportunities,opportunities,7.46,1.09
207.0,triumph,triumph,7.46,1.83
208.0,wow,wow,7.46,1.45
209.0,jewels,jewels,7.46,1.62
210.0,forests,forests,7.45,1.33
211.0,apple,apple,7.44,1.23
212.0,dreams,dreams,7.44,1.42
213.0,fantasy,fantasy,7.44,1.62
214.0,food,food,7.44,1.21
215.0,honey,honey,7.44,1.59
216.0,miracles,miracles,7.44,1.94
217.0,sex,sex,7.44,1.68
218.0,sing,sing,7.44,1.34
219.0,starlight,starlight,7.44,1.42
220.0,thankful,thankful,7.44,1.5
221.0,wins,wins,7.44,1.26
222.0,achieve,achieve,7.42,1.23
223.0,adored,adored,7.42,1.44
224.0,cash,cash,7.42,1.67
225.0,dances,dances,7.42,1.29
226.0,gorgeous,gorgeous,7.42,1.96
227.0,grandchildren,grandchildren,7.42,1.51
228.0,incredible,incredible,7.42,1.34
229.0,lunch,lunch,7.42,1.09
230.0,mommy,mommy,7.42,1.76
231.0,parties,parties,7.42,1.44
232.0,perfect,perfect,7.42,1.72
233.0,saturday,saturday,7.42,1.72
234.0,surprise,surprise,7.42,1.54
235.0,truth,truth,7.42,1.4
236.0,blessing,blessing,7.4,1.74
237.0,creative,creative,7.4,1.2
238.0,dinner,dinner,7.4,1.14
239.0,kindness,kindness,7.4,1.09
240.0,pleased,pleased,7.4,1.16
241.0,sexy,sexy,7.4,1.23
242.0,strength,strength,7.4,1.16
243.0,thank,thank,7.4,1.12
244.0,thanks,thanks,7.4,1.51
245.0,thanksgiving,thanksgiving,7.4,1.41
246.0,treasure,treasure,7.4,1.71
247.0,valentine,valentine,7.4,1.7
248.0,riches,riches,7.39,1.67
249.0,awarded,awarded,7.38,1.16
250.0,fabulous,fabulous,7.38,1.54
251.0,grandfather,grandfather,7.38,1.43
252.0,heavenly,heavenly,7.38,1.83
253.0,hope,hope,7.38,1.31
254.0,kids,kids,7.38,1.6
255.0,magical,magical,7.38,1.29
256.0,million,million,7.38,1.43
257.0,nice,nice,7.38,1.51
258.0,sundays,sundays,7.38,1.46
259.0,wealth,wealth,7.38,1.23
260.0,fantasies,fantasies,7.36,1.39
261.0,cares,cares,7.36,1.4
262.0,dance,dance,7.36,1.44
263.0,daughters,daughters,7.36,1.22
264.0,favorable,favorable,7.36,1.51
265.0,friend's,friend's,7.36,1.64
266.0,generosity,generosity,7.36,1.27
267.0,grateful,grateful,7.36,1.47
268.0,inspired,inspired,7.36,1.1
269.0,mothers,mothers,7.36,1.47
270.0,parents,parents,7.36,1.51
271.0,valentine's,valentine's,7.36,1.32
272.0,intelligent,intelligent,7.35,1.55
273.0,liberation,liberation,7.35,1.3
274.0,melody,melody,7.35,1.77
275.0,wonderland,wonderland,7.35,1.64
276.0,beloved,beloved,7.34,1.27
277.0,caring,caring,7.34,1.41
278.0,homemade,homemade,7.34,1.24
279.0,inspiring,inspiring,7.34,1.19
280.0,movies,movies,7.34,1.45
281.0,precious,precious,7.34,1.52
282.0,respect,respect,7.34,1.61
283.0,satisfaction,satisfaction,7.34,1.12
284.0,satisfy,satisfy,7.34,1.44
285.0,wedding,wedding,7.34,1.52
286.0,accomplished,accomplished,7.32,1.3
287.0,adorable,adorable,7.32,1.7
288.0,championship,championship,7.32,1.36
289.0,comfortable,comfortable,7.32,1.1
290.0,cuddle,cuddle,7.32,1.73
291.0,games,games,7.32,1.22
292.0,grandson,grandson,7.32,1.48
293.0,life,life,7.32,1.7
294.0,lovely,lovely,7.32,1.54
295.0,pretty,pretty,7.32,1.7
296.0,proud,proud,7.32,1.43
297.0,rose,rose,7.32,1.46
298.0,united,united,7.32,1.2
299.0,fruits,fruits,7.31,1.53
300.0,adventure,adventure,7.3,1.43
301.0,couple,couple,7.3,1.27
302.0,dollars,dollars,7.3,1.46
303.0,eating,eating,7.3,1.78
304.0,fortune,fortune,7.3,1.39
305.0,generous,generous,7.3,1.47
306.0,golden,golden,7.3,1.34
307.0,hahah,hahah,7.3,1.54
308.0,hooray,hooray,7.3,2.07
309.0,intelligence,intelligence,7.3,1.2
310.0,lover,lover,7.3,1.93
311.0,luxury,luxury,7.3,1.68
312.0,money,money,7.3,1.84
313.0,passion,passion,7.3,1.47
314.0,prosperity,prosperity,7.3,1.53
315.0,remarkable,remarkable,7.3,1.33
316.0,sweetie,sweetie,7.3,1.13
317.0,valentines,valentines,7.3,1.78
318.0,educated,educated,7.29,1.31
319.0,gently,gently,7.29,1.27
320.0,baby,baby,7.28,1.85
321.0,books,books,7.28,1.33
322.0,bride,bride,7.28,1.54
323.0,cherished,cherished,7.28,1.58
324.0,cookies,cookies,7.28,1.7
325.0,dessert,dessert,7.28,1.77
326.0,employed,employed,7.28,1.36
327.0,glow,glow,7.28,1.29
328.0,god,god,7.28,1.93
329.0,great-grandchildren,great-grandchildren,7.28,1.7
330.0,helped,helped,7.28,1.29
331.0,independence,independence,7.28,1.59
332.0,likes,likes,7.28,1.54
333.0,luckily,luckily,7.28,1.65
334.0,moon,moon,7.28,1.37
335.0,perfectly,perfectly,7.28,1.59
336.0,satisfied,satisfied,7.28,1.53
337.0,sunday,sunday,7.28,1.92
338.0,juicy,juicy,7.27,1.2
339.0,championships,championships,7.26,1.35
340.0,divine,divine,7.26,1.41
341.0,dreaming,dreaming,7.26,1.26
342.0,foods,foods,7.26,1.48
343.0,fresh,fresh,7.26,1.32
344.0,gladly,gladly,7.26,1.12
345.0,greatest,greatest,7.26,1.52
346.0,hearts,hearts,7.26,1.68
347.0,luck,luck,7.26,1.88
348.0,millions,millions,7.26,1.54
349.0,musicians,musicians,7.26,1.05
350.0,play,play,7.26,1.23
351.0,progress,progress,7.26,1.16
352.0,savings,savings,7.26,1.27
353.0,appreciation,appreciation,7.24,1.47
354.0,bliss,bliss,7.24,1.76
355.0,bloom,bloom,7.24,1.6
356.0,book,book,7.24,1.2
357.0,child,child,7.24,1.56
358.0,companion,companion,7.24,1.38
359.0,computer,computer,7.24,1.39
360.0,gardens,gardens,7.24,1.35
361.0,gentle,gentle,7.24,0.98
362.0,hahahah,hahahah,7.24,2.04
363.0,helpful,helpful,7.24,1.24
364.0,impressed,impressed,7.24,1.04
365.0,kind,kind,7.24,1.39
366.0,knowledge,knowledge,7.24,1.46
367.0,liberty,liberty,7.24,1.27
368.0,mama,mama,7.24,1.76
369.0,nature,nature,7.24,1.8
370.0,pal,pal,7.24,1.27
371.0,passionate,passionate,7.24,1.08
372.0,promoted,promoted,7.24,1.49
373.0,reward,reward,7.24,1.89
374.0,warmth,warmth,7.24,1.65
375.0,xmas,xmas,7.24,2.1
376.0,danced,danced,7.22,1.21
377.0,amazed,amazed,7.22,1.87
378.0,appreciate,appreciate,7.22,1.18
379.0,brother,brother,7.22,1.23
380.0,confidence,confidence,7.22,1.28
381.0,darling,darling,7.22,1.31
382.0,encouraging,encouraging,7.22,1.56
383.0,energy,energy,7.22,1.3
384.0,films,films,7.22,1.28
385.0,garden,garden,7.22,1.18
386.0,graduated,graduated,7.22,1.27
387.0,guitar,guitar,7.22,1.47
388.0,health,health,7.22,1.25
389.0,heart,heart,5.6,1.2
390.0,honor,honor,7.22,1.2
391.0,like,like,7.22,1.22
392.0,musical,musical,7.22,1.56
393.0,pets,pets,7.22,1.53
394.0,relaxed,relaxed,7.22,1.06
395.0,salary,salary,7.22,1.34
396.0,star,star,7.22,1.58
397.0,sweeter,sweeter,7.22,1.11
398.0,trust,trust,7.22,1.23
399.0,yummy,yummy,7.22,1.79
400.0,ecstasy,ecstasy,7.2,1.73
401.0,eternal,eternal,7.2,1.53
402.0,approved,approved,7.2,1.5
403.0,benefits,benefits,7.2,1.05
404.0,cartoon,cartoon,7.2,1.44
405.0,comforted,comforted,7.2,1.44
406.0,cool,cool,7.2,1.34
407.0,discount,discount,7.2,1.29
408.0,good,good,7.2,1.46
409.0,google,google,7.2,1.31
410.0,ladies,ladies,7.2,1.47
411.0,libraries,libraries,7.2,1.25
412.0,luv,luv,7.2,1.84
413.0,perfection,perfection,7.2,1.63
414.0,presents,presents,7.2,1.46
415.0,prizes,prizes,7.2,2.03
416.0,special,special,7.2,1.2
417.0,wishes,wishes,7.2,1.21
418.0,alive,alive,7.18,1.29
419.0,awards,awards,7.18,1.21
420.0,bed,bed,5.0,0.0
421.0,best,best,7.18,1.69
422.0,coffee,coffee,7.18,1.48
423.0,comfy,comfy,7.18,1.22
424.0,fiesta,fiesta,7.18,1.77
425.0,genuine,genuine,7.18,1.38
426.0,helping,helping,7.18,1.64
427.0,imagine,imagine,7.18,1.1
428.0,leisure,leisure,7.18,1.7
429.0,meal,meal,7.18,1.47
430.0,promise,promise,7.18,1.19
431.0,respected,respected,7.18,1.02
432.0,rest,rest,7.18,1.26
433.0,travel,travel,7.18,1.42
434.0,abundant,abundant,7.16,1.65
435.0,attracted,attracted,7.16,1.17
436.0,devoted,devoted,7.16,1.36
437.0,favourite,favourite,7.16,1.36
438.0,granddaughter,granddaughter,7.16,1.69
439.0,heroes,heroes,7.16,1.57
440.0,ideas,ideas,7.16,1.28
441.0,liked,liked,7.16,0.91
442.0,oceans,oceans,7.16,1.62
443.0,pizza,pizza,7.16,1.33
444.0,skies,skies,7.16,1.35
445.0,sleep,sleep,7.16,1.71
446.0,spring,spring,7.16,1.43
447.0,sunset,sunset,7.16,2.11
448.0,welcome,welcome,7.16,1.31
449.0,1st,1st,7.14,1.7
450.0,adoring,adoring,7.14,1.69
451.0,brighter,brighter,7.14,1.32
452.0,children's,children's,7.14,1.51
453.0,cure,cure,7.14,1.51
454.0,fireworks,fireworks,7.14,1.48
455.0,home,home,5.4,0.49
456.0,honored,honored,7.14,1.28
457.0,journey,journey,7.14,1.51
458.0,lovin,lovin,7.14,1.97
459.0,opportunity,opportunity,7.14,1.71
460.0,paid,paid,7.14,1.71
461.0,parks,parks,7.14,1.57
462.0,playing,playing,7.14,1.47
463.0,shine,shine,7.14,1.71
464.0,strawberry,strawberry,7.14,1.41
465.0,summertime,summertime,7.14,2.22
466.0,wealthy,wealthy,7.14,1.75
467.0,appreciated,appreciated,7.12,1.51
468.0,artistic,artistic,7.12,1.24
469.0,birth,birth,7.12,1.61
470.0,children,children,7.12,1.35
471.0,fruit,fruit,7.12,1.52
472.0,inspire,inspire,7.12,1.48
473.0,juice,juice,7.12,1.08
474.0,laptop,laptop,7.12,1.35
475.0,partners,partners,7.12,1.44
476.0,son,son,7.12,1.81
477.0,stronger,stronger,7.12,1.08
478.0,superman,superman,7.12,1.72
479.0,tree,tree,7.12,1.32
480.0,valuable,valuable,7.12,1.12
481.0,woman's,woman's,7.12,1.35
482.0,women,women,7.12,1.47
483.0,glowing,glowing,7.1,1.43
484.0,admiration,admiration,7.1,1.46
485.0,carnival,carnival,7.1,1.76
486.0,computers,computers,7.1,1.28
487.0,confident,confident,7.1,1.18
488.0,cookie,cookie,7.1,1.3
489.0,cutie,cutie,7.1,1.31
490.0,dearest,dearest,7.1,1.28
491.0,dream,dream,7.1,1.96
492.0,freely,freely,7.1,1.37
493.0,fridays,fridays,7.1,1.46
494.0,plants,plants,7.1,1.3
495.0,quality,quality,7.1,1.42
496.0,rabbit,rabbit,7.1,1.22
497.0,resort,resort,7.1,1.45
498.0,shopping,shopping,7.1,1.54
499.0,sincere,sincere,7.1,1.04
500.0,snack,snack,7.1,1.57
501.0,stars,stars,7.1,1.54
502.0,toys,toys,7.1,1.66
503.0,useful,useful,7.1,1.2
504.0,wise,wise,7.1,1.27
505.0,yum,yum,7.1,1.49
506.0,desirable,desirable,7.08,1.66
507.0,sparkle,sparkle,7.08,1.62
508.0,bless,bless,7.08,1.97
509.0,comic,comic,7.08,1.56
510.0,cooking,cooking,7.08,1.29
511.0,dancing,dancing,7.08,1.61
512.0,earned,earned,7.08,1.18
513.0,equality,equality,7.08,1.83
514.0,faith,faith,7.08,1.44
515.0,graduate,graduate,7.08,1.24
516.0,improvements,improvements,7.08,1.41
517.0,memories,memories,7.08,1.19
518.0,park,park,7.08,1.35
519.0,pet,pet,7.08,1.7
520.0,powerful,powerful,7.08,1.54
521.0,princess,princess,7.08,1.58
522.0,qualities,qualities,7.08,1.16
523.0,thrill,thrill,7.08,1.56
524.0,true,true,7.08,1.1
525.0,wonder,wonder,7.08,1.31
526.0,everlasting,everlasting,7.06,1.39
527.0,mamma,mamma,7.06,1.7
528.0,caress,caress,7.06,1.72
529.0,charm,charm,7.06,1.42
530.0,clever,clever,7.06,1.35
531.0,father,father,7.06,1.74
532.0,grand,grand,7.06,1.36
533.0,hehehe,hehehe,7.06,1.66
534.0,idea,idea,7.06,1.28
535.0,pearl,pearl,7.06,1.42
536.0,pictures,pictures,7.06,1.32
537.0,restaurant,restaurant,7.06,1.25
538.0,sandwich,sandwich,7.06,1.38
539.0,sharing,sharing,7.06,1.28
540.0,strong,strong,7.06,1.52
541.0,talent,talent,7.06,0.98
542.0,talented,talented,7.06,1.53
543.0,tenderness,tenderness,7.06,1.27
544.0,weddings,weddings,7.06,1.66
545.0,dove,dove,7.04,1.44
546.0,awsome,awsome,7.04,1.8
547.0,cherry,cherry,7.04,1.46
548.0,daughter,daughter,7.04,1.81
549.0,eat,eat,7.04,1.46
550.0,favorite,favorite,7.04,1.65
551.0,girlfriend,girlfriend,7.04,1.63
552.0,hoping,hoping,7.04,1.14
553.0,impressive,impressive,7.04,1.03
554.0,loyalty,loyalty,7.04,1.77
555.0,parent,parent,7.04,1.29
556.0,relationship,relationship,7.04,1.29
557.0,safe,safe,7.04,1.62
558.0,scholarship,scholarship,7.04,1.65
559.0,shining,shining,7.04,1.76
560.0,sunrise,sunrise,7.04,1.8
561.0,yoga,yoga,7.04,1.59
562.0,respects,respects,7.02,1.62
563.0,fairy,fairy,7.02,1.48
564.0,humanity,humanity,7.02,1.63
565.0,productivity,productivity,7.02,1.31
566.0,brave,brave,7.02,1.29
567.0,colours,colours,7.02,1.38
568.0,correct,correct,7.02,1.49
569.0,dad,dad,7.02,2.12
570.0,daddy,daddy,7.02,1.72
571.0,dollar,dollar,7.02,1.52
572.0,easily,easily,7.02,1.63
573.0,fans,fans,7.02,1.25
574.0,goal,goal,6.2,0.75
575.0,hawaii,hawaii,7.02,1.68
576.0,honestly,honestly,7.02,1.57
577.0,inspiration,inspiration,7.02,1.45
578.0,olympics,olympics,7.02,1.35
579.0,saints,saints,7.02,1.72
580.0,sleeping,sleeping,7.02,1.67
581.0,wisdom,wisdom,7.02,1.56
582.0,believed,believed,7.0,1.28
583.0,better,better,7.0,1.28
584.0,color,color,7.0,1.37
585.0,colors,colors,7.0,1.75
586.0,dad's,dad's,7.0,1.39
587.0,determination,determination,7.0,1.41
588.0,discovered,discovered,7.0,1.25
589.0,gentlemen,gentlemen,7.0,1.43
590.0,girl,girl,7.0,1.16
591.0,harmony,harmony,7.0,1.44
592.0,hello,hello,7.0,1.51
593.0,hopes,hopes,7.0,1.55
594.0,noble,noble,7.0,1.6
595.0,praised,praised,7.0,1.39
596.0,reliable,reliable,7.0,1.48
597.0,trip,trip,7.0,1.55
598.0,agreed,agreed,6.98,1.3
599.0,approval,approval,6.98,1.2
600.0,brothers,brothers,6.98,1.45
601.0,concerts,concerts,6.98,1.55
602.0,cooperation,cooperation,6.98,1.38
603.0,encouraged,encouraged,6.98,1.24
604.0,giving,giving,6.98,1.15
605.0,goals,goals,6.98,1.2
606.0,ideal,ideal,6.98,1.71
607.0,intellectual,intellectual,6.98,1.29
608.0,invitation,invitation,6.98,1.33
609.0,marry,marry,6.98,1.87
610.0,musician,musician,6.98,1.24
611.0,outdoors,outdoors,6.98,1.7
612.0,photography,photography,6.98,1.49
613.0,plenty,plenty,6.98,1.22
614.0,rome,rome,6.98,1.42
615.0,trees,trees,6.98,1.6
616.0,trips,trips,6.98,1.32
617.0,unique,unique,6.98,1.44
618.0,wildlife,wildlife,6.98,1.68
619.0,lullaby,lullaby,6.98,1.93
620.0,thrills,thrills,6.98,1.33
621.0,abroad,abroad,6.96,1.23
622.0,bath,bath,6.96,1.26
623.0,benefit,benefit,6.96,1.31
624.0,birds,birds,6.96,1.43
625.0,dads,dads,6.96,1.47
626.0,elegant,elegant,6.96,1.93
627.0,eternally,eternally,6.96,1.71
628.0,fair,fair,6.96,1.26
629.0,fancy,fancy,6.96,1.37
630.0,great-grandfather,great-grandfather,6.96,1.73
631.0,imagination,imagination,6.96,1.35
632.0,improving,improving,6.96,0.88
633.0,mountains,mountains,6.96,1.19
634.0,ocean,ocean,6.96,1.71
635.0,pancakes,pancakes,6.96,1.21
636.0,photograph,photograph,6.96,1.56
637.0,praying,praying,6.96,1.75
638.0,present,present,4.6,0.8
639.0,reunion,reunion,6.96,1.63
640.0,safely,safely,6.96,1.46
641.0,saving,saving,6.96,1.26
642.0,singing,singing,6.96,1.7
643.0,songs,songs,6.96,1.87
644.0,sunny,sunny,6.96,2.09
645.0,terrific,terrific,6.96,2.08
646.0,theater,theater,6.96,1.55
647.0,vanilla,vanilla,6.96,1.34
648.0,adore,adore,6.96,1.86
649.0,gentleman,gentleman,6.96,1.73
650.0,autumn,autumn,6.94,1.5
651.0,cinema,cinema,6.94,1.6
652.0,college,college,6.94,1.42
653.0,concert,concert,6.94,1.2
654.0,correctly,correctly,6.94,1.33
655.0,cozy,cozy,6.94,1.46
656.0,dear,dear,6.94,1.54
657.0,earning,earning,6.94,1.53
658.0,earns,earns,6.94,1.1
659.0,gardening,gardening,6.94,1.27
660.0,girls,girls,6.94,1.46
661.0,massage,massage,6.94,1.66
662.0,outdoor,outdoor,6.94,1.24
663.0,photos,photos,6.94,1.17
664.0,piano,piano,6.94,1.27
665.0,sea,sea,6.94,1.28
666.0,trusted,trusted,6.94,1.53
667.0,albums,albums,6.92,1.32
668.0,dignity,dignity,6.92,1.18
669.0,favored,favored,6.92,1.35
670.0,fitness,fitness,6.92,1.75
671.0,game,game,6.92,1.6
672.0,healing,healing,6.92,1.4
673.0,learned,learned,6.92,1.52
674.0,learning,learning,6.92,1.35
675.0,prayers,prayers,6.92,1.85
676.0,promote,promote,6.92,1.07
677.0,secure,secure,6.92,1.29
678.0,spa,spa,6.92,1.48
679.0,unity,unity,6.92,1.75
680.0,wish,wish,6.92,1.5
681.0,youtube,youtube,6.92,1.51
682.0,favour,favour,6.92,1.53
683.0,clean,clean,6.9,1.9
684.0,dynamic,dynamic,6.9,1.31
685.0,encourage,encourage,6.9,1.68
686.0,infant,infant,6.9,1.76
687.0,jewelry,jewelry,6.9,1.5
688.0,necklace,necklace,6.9,1.17
689.0,paintings,paintings,6.9,1.59
690.0,stability,stability,6.9,1.49
691.0,voyage,voyage,6.9,1.33
692.0,worthy,worthy,6.9,1.68
693.0,fulfill,fulfill,6.9,1.34
694.0,eternity,eternity,6.9,1.96
695.0,accuracy,accuracy,6.88,1.17
696.0,bookstores,bookstores,6.88,1.45
697.0,breeze,breeze,6.88,1.33
698.0,bunny,bunny,6.88,1.79
699.0,cheese,cheese,6.88,1.44
700.0,comics,comics,6.88,1.35
701.0,donated,donated,6.88,1.24
702.0,easter,easter,6.88,1.7
703.0,education,education,6.88,1.61
704.0,email,email,6.88,1.32
705.0,farmer,farmer,6.88,1.62
706.0,female,female,6.88,1.27
707.0,flavor,flavor,6.88,1.22
708.0,friday,friday,6.88,1.69
709.0,moms,moms,6.88,1.77
710.0,photo,photo,6.88,1.39
711.0,pillow,pillow,6.88,1.22
712.0,pure,pure,6.88,1.35
713.0,saved,saved,6.88,1.51
714.0,shakespeare,shakespeare,6.88,1.78
715.0,survived,survived,6.88,1.48
716.0,taste,taste,6.88,1.27
717.0,valued,valued,6.88,1.12
718.0,vitamin,vitamin,6.88,1.38
